,city,Listing_Title,Posting_Date,Bedrooms,Sqft,Price,posting_ID,treatment_assignment,full_URL,Reply_contact_info_link,reply_email_TO_BE_FILLED_IN,Apartment_Complex_Flag
106,seattle,"Dishwasher, Sundeck, Pets Allowed",2017-03-17 12:45,1.0,680.0,1250.0,6048244609,John_Treat_Low,https://seattle.craigslist.org/skc/apa/6048244609.html,https://seattle.craigslist.org/reply/sea/apa/6048244609,,
100,seattle,***Welcome home! Tour this lovely top floor apartment today!***,2017-03-17 12:48,1.0,699.0,1595.0,6048249790,John_Treat_High,https://seattle.craigslist.org/see/apa/6048249790.html,https://seattle.craigslist.org/reply/sea/apa/6048249790,,
61,seattle,"Large 2 Bedroom 2 Bath, Bright Corner Apartment, Next to Paramount!",2017-03-16 13:09,2.0,1114.0,3520.0,6046835760,John_Control,https://seattle.craigslist.org/see/apa/6046835760.html,https://seattle.craigslist.org/reply/sea/apa/6046835760,,
75,seattle,1 Bedroom Loft Available!,2017-03-17 12:59,1.0,811.0,1720.0,6038551579,John_Control,https://seattle.craigslist.org/est/apa/6038551579.html,https://seattle.craigslist.org/reply/sea/apa/6038551579,,
59,seattle,Like New with W/D - Remodeled 2 Bd/ 1.5 Bath on the Trail!,2017-03-17 12:41,2.0,1035.0,1275.0,6048238026,John_Treat_Low,https://seattle.craigslist.org/skc/apa/6048238026.html,https://seattle.craigslist.org/reply/sea/apa/6048238026,,
85,seattle,509-303*CEDAR*CARPORT INCLUDED*FIREPLACE*STAINLESS*FITNESS*W/D*PATIO,2017-03-17 12:56,2.0,881.0,1595.0,6048261701,John_Treat_High,https://seattle.craigslist.org/sno/apa/6048261701.html,https://seattle.craigslist.org/reply/sea/apa/6048261701,,
91,seattle,You'll Love Your Brand New 2x2 in Beautiful Eastlake! 6 Weeks Free!,2017-03-16 16:02,2.0,888.0,3151.0,6047098073,John_Treat_High,https://seattle.craigslist.org/see/apa/6047098073.html,https://seattle.craigslist.org/reply/sea/apa/6047098073,,
56,seattle,View of Evergreens and short walk to Downtown Fremont | Henry,2017-03-17 13:08,1.0,610.0,1825.0,6048280673,Jane_Treat_Low,https://seattle.craigslist.org/see/apa/6048280673.html,https://seattle.craigslist.org/reply/sea/apa/6048280673,,
50,seattle,"Floor To Ceiling Windows,Purrrfect for your friend to stay entertained",2017-03-17 11:49,2.0,998.0,2990.0,6048153080,Jane_Treat_High,https://seattle.craigslist.org/est/apa/6048153080.html,https://seattle.craigslist.org/reply/sea/apa/6048153080,,
18,seattle,BRAND NEW RENOVATED TWO BEDROOM APARTMENT!,2017-03-17 13:31,2.0,950.0,1275.0,6045363299,John_Control,https://seattle.craigslist.org/tac/apa/6045363299.html,https://seattle.craigslist.org/reply/sea/apa/6045363299,,
85,seattle,Our Lowest-Priced Apartment Comes Available Soon - Pre-Lease Today!,2017-03-17 12:53,1.0,540.0,1498.0,6042612761,John_Control,https://seattle.craigslist.org/est/apa/6042612761.html,https://seattle.craigslist.org/reply/sea/apa/6042612761,,
95,seattle,Quiet Smoke Free Complex Has 2 Bedroom Available!!,2017-03-17 12:11,2.0,,1020.0,6045332164,John_Treat_Low,https://seattle.craigslist.org/tac/apa/6045332164.html,https://seattle.craigslist.org/reply/sea/apa/6045332164,,
69,seattle,Beautiful Traditinal 1x1 Located On The 3rd Floor Coming In May!! *326,2017-03-17 12:25,1.0,710.0,2260.0,6048199340,John_Control,https://seattle.craigslist.org/see/apa/6048199340.html,https://seattle.craigslist.org/reply/sea/apa/6048199340,,
13,seattle,Move in today! Beautiful 2x2 Available Now,2017-03-17 13:19,2.0,948.0,1810.0,6048298000,John_Control,https://seattle.craigslist.org/sno/apa/6048298000.html,https://seattle.craigslist.org/reply/sea/apa/6048298000,,
34,seattle,Large 1bed/1bath at a great rate! W/D included!,2017-03-17 12:58,1.0,800.0,2361.0,6048249270,Jane_Treat_High,https://seattle.craigslist.org/see/apa/6048249270.html,https://seattle.craigslist.org/reply/sea/apa/6048249270,,
89,seattle,Time to jump into a Great Deal and Home!!,2017-03-17 12:14,2.0,950.0,1299.0,6038175076,Jane_Treat_Low,https://seattle.craigslist.org/skc/apa/6038175076.html,https://seattle.craigslist.org/reply/sea/apa/6038175076,,
